,n_estimators,criterion,min_sample_leaf,precision,recall,ROC,f1,acc
0,50,gini,50,0.65,0.7375886524822695,0.6702127659574468,0.6910299003322258,0.6702127659574468
1,50,gini,60,0.6335403726708074,0.723404255319149,0.652482269503546,0.6754966887417219,0.6524822695035462
2,50,gini,70,0.6455696202531646,0.723404255319149,0.6631205673758865,0.6822742474916389,0.6631205673758865
3,50,gini,80,0.6242424242424243,0.7304964539007093,0.6453900709219859,0.673202614379085,0.6453900709219859
4,50,gini,90,0.6158536585365854,0.7163120567375887,0.6347517730496454,0.6622950819672132,0.6347517730496454
5,50,entropy,50,0.6540880503144654,0.7375886524822695,0.6737588652482269,0.6933333333333332,0.6737588652482269
6,50,entropy,60,0.6560509554140127,0.7304964539007093,0.6737588652482269,0.6912751677852349,0.6737588652482269
7,50,entropy,70,0.6415094339622641,0.723404255319149,0.6595744680851063,0.68,0.6595744680851063
8,50,entropy,80,0.6265060240963856,0.7375886524822695,0.648936170212766,0.6775244299674267,0.648936170212766
9,50,entropy,90,0.6167664670658682,0.7304964539007093,0.6382978723404256,0.6688311688311689,0.6382978723404256
10,100,gini,50,0.65625,0.7446808510638298,0.6773049645390071,0.6976744186046511,0.6773049645390071
11,100,gini,60,0.6273291925465838,0.7163120567375887,0.6453900709219859,0.6688741721854304,0.6453900709219859
12,100,gini,70,0.643312101910828,0.7163120567375887,0.6595744680851063,0.6778523489932886,0.6595744680851063
13,100,gini,80,0.6167664670658682,0.7304964539007093,0.6382978723404256,0.6688311688311689,0.6382978723404256
14,100,gini,90,0.6273291925465838,0.7163120567375887,0.6453900709219859,0.6688741721854304,0.6453900709219859
15,100,entropy,50,0.654320987654321,0.75177304964539,0.677304964539007,0.6996699669966997,0.6773049645390071
16,100,entropy,60,0.63125,0.7163120567375887,0.648936170212766,0.6710963455149501,0.648936170212766
17,100,entropy,70,0.6493506493506493,0.7092198581560284,0.6631205673758865,0.6779661016949152,0.6631205673758865
18,100,entropy,80,0.6204819277108434,0.7304964539007093,0.6418439716312057,0.6710097719869709,0.6418439716312057
19,100,entropy,90,0.6196319018404908,0.7163120567375887,0.6382978723404256,0.6644736842105263,0.6382978723404256
20,200,gini,50,0.6496815286624203,0.723404255319149,0.6666666666666666,0.6845637583892618,0.6666666666666666
21,200,gini,60,0.6459627329192547,0.7375886524822695,0.6666666666666666,0.6887417218543046,0.6666666666666666
22,200,gini,70,0.6219512195121951,0.723404255319149,0.6418439716312057,0.6688524590163935,0.6418439716312057
23,200,gini,80,0.6303030303030303,0.7375886524822695,0.652482269503546,0.6797385620915033,0.6524822695035462
24,200,gini,90,0.6204819277108434,0.7304964539007093,0.6418439716312057,0.6710097719869709,0.6418439716312057
25,200,entropy,50,0.660377358490566,0.7446808510638298,0.6808510638297873,0.7,0.6808510638297872
26,200,entropy,60,0.6341463414634146,0.7375886524822695,0.6560283687943262,0.6819672131147542,0.6560283687943262
27,200,entropy,70,0.6242424242424243,0.7304964539007093,0.6453900709219859,0.673202614379085,0.6453900709219859
28,200,entropy,80,0.6280487804878049,0.7304964539007093,0.648936170212766,0.6754098360655737,0.648936170212766
