,n_estimators,criterion,min_sample_leaf,precision,recall,ROC,f1,acc
0,50,gini,50,0.9375151368370065,0.9435709932967703,0.9403374225381951,0.9405333171353945,0.9403376195990005
1,50,gini,60,0.9283989374547211,0.9371115173674589,0.9324148518090342,0.9327348820282648,0.9324151380340058
2,50,gini,70,0.923466924191212,0.9323583180987203,0.9275394710922661,0.9278913214870519,0.9275397647632397
3,50,gini,80,0.9217233009708737,0.9256550883607556,0.9235174515426401,0.9236850106415323,0.9235175818148577
4,50,gini,90,0.915385546544002,0.9216331505179769,0.9182154050980913,0.9184987246447225,0.9182156133828996
5,50,entropy,50,0.9415310427968656,0.9518586227909811,0.946370559567114,0.9466666666666667,0.9463708940215735
6,50,entropy,60,0.9348506743737958,0.9461304082876295,0.9400934830321619,0.9404567205766551,0.9400938509354623
7,50,entropy,70,0.9239653512993262,0.9360146252285192,0.9294895164172825,0.9299509596173638,0.9294899140715461
8,50,entropy,80,0.9215921352355833,0.9368677635588056,0.9285752762211386,0.9291671703130665,0.9285757815832775
9,50,entropy,90,0.9128873997846118,0.9297989031078611,0.9205308508713367,0.921265547639174,0.9205314156865135
10,100,gini,50,0.9397633993239981,0.9488117001828154,0.9439938559422122,0.9442658742191765,0.9439941495520751
11,100,gini,60,0.9317439186736052,0.9383302864107251,0.934791666852364,0.9350255040077726,0.9347918825035042
12,100,gini,70,0.9267850670532801,0.9349177330895795,0.9305256632293339,0.9308336366945759,0.9305259308915839
13,100,gini,80,0.9220904911686426,0.9289457647775746,0.9252237356311082,0.9255054337927265,0.9252239624596258
14,100,gini,90,0.9162942384345936,0.924558196221816,0.9200436032303619,0.9204076680417376,0.9200438783594369
15,100,entropy,50,0.9429259482239615,0.9544180377818403,0.9483206717431873,0.9486371895820715,0.94832104332988
16,100,entropy,60,0.9328859060402684,0.9486898232784887,0.9402152188064798,0.9407214937458457,0.9402157352672313
17,100,entropy,70,0.9261077844311377,0.9424741011578306,0.9336334425828158,0.9342192691029901,0.9336339813516973
18,100,entropy,80,0.9209708273553324,0.9388177940280317,0.929123670295342,0.9298086788581085,0.9291242610762387
19,100,entropy,90,0.9149063850216035,0.9290676416819013,0.9213231918794684,0.9219326359073593,0.921323663843013
20,200,gini,50,0.941020383548426,0.950883607556368,0.9456392684295736,0.9459262851600387,0.9456395880309586
21,200,gini,60,0.9342041606192549,0.9413772090188909,0.937534045757617,0.9377769683724883,0.9375342799683101
22,200,gini,70,0.9265966437281178,0.935405240706886,0.9306475252778701,0.9309801067442989,0.930647815223353
23,200,gini,80,0.9231606969990319,0.9297989031078611,0.9261988177167779,0.9264679094055498,0.926199037113779
24,200,gini,90,0.9159093662910457,0.921267519804997,0.918337319141894,0.9185806294811034,0.9183374977146688
25,200,entropy,50,0.9437161755862898,0.9563680682510665,0.9496613622581515,0.9500000000000001,0.9496617709793406
26,200,entropy,60,0.9366890917827967,0.950274223034735,0.9430186327265337,0.9434327545526044,0.9430190748979219
27,200,entropy,70,0.9286829151158602,0.9427178549664839,0.9351570747284882,0.9356477561388654,0.9351575354988116
28,200,entropy,80,0.9224964063248682,0.9385740402193784,0.9298550357118346,0.9304657765963873,0.9298555670668536
29,200,entropy,90,0.9182200841852075,0.9305301645338209,0.9238218838271248,0.9243341404358354,0.9238222926442806
30,250,gini,50,0.9407443092858003,0.9519804996953077,0.9460048768588678,0.946329052580567,0.946005241026266
31,250,gini,60,0.9338972809667674,0.9418647166361974,0.9375949619260947,0.9378640776699028,0.9375952221341947
32,250,gini,70,0.9281400966183575,0.9366240097501524,0.9320492062402639,0.932362754018805,0.9320494850386982
33,250,gini,80,0.9239446870451238,0.9283363802559415,0.9259551233312862,0.9261353273755244,0.9259552684502407
34,250,gini,90,0.9166767591134795,0.9224862888482632,0.9193123789438781,0.9195723484388288,0.919312572368822
35,250,entropy,50,0.9441434934392681,0.9558805606337599,0.9496613919697322,0.9499757751937985,0.9496617709793406
36,250,entropy,60,0.9364182692307692,0.9495429616087752,0.9425311102534368,0.9429349470499244,0.9425315375708453
37,250,entropy,70,0.9294456443484521,0.9440585009140768,0.9361930729826358,0.9366950843460911,0.9361935523188494
38,250,entropy,80,0.9242970439798125,0.9374771480804388,0.9303426696033593,0.9308404429115992,0.9303431043939302
39,250,entropy,90,0.918458028101357,0.932114564290067,0.9246750295853066,0.9252359061214613,0.9246754829666647
40,300,gini,50,0.9409993979530403,0.9524680073126143,0.9463705224276381,0.9466989703210176,0.9463708940215735
41,300,gini,60,0.9342915811088296,0.9427178549664839,0.9382043687314136,0.9384858044164038,0.9382046437930404
42,300,gini,70,0.9292270531400966,0.937720901889092,0.9331461652302604,0.9334546557476493,0.9331464440246207
43,300,gini,80,0.9232355081251515,0.927848872638635,0.925345694242282,0.9255364415537051,0.925345846791395
44,300,gini,90,0.9163843175217812,0.9229737964655698,0.9193732951123559,0.9196672536280284,0.9193735145347066
45,300,entropy,50,0.9442974013474494,0.9566118220597197,0.9500879685627707,0.9504147242235272,0.9500883661405326
46,300,entropy,60,0.9370192307692308,0.9501523461304083,0.943140531914546,0.9435400907715583,0.943140959229691
47,300,entropy,70,0.9307025986525506,0.9428397318708105,0.9363150390217044,0.9367318520312404,0.9363154366506186
48,300,entropy,80,0.9241478636581854,0.9384521633150518,0.9307082854605488,0.9312450867751104,0.9307087573892376
49,300,entropy,90,0.9180268843014883,0.9322364411943936,0.9244921845172357,0.9250770998367299,0.9244926564690109
50,350,gini,50,0.9409496264160039,0.9516148689823278,0.9459439532624949,0.9462521965703204,0.9459442988603814
51,350,gini,60,0.9353552440792653,0.9434491163924437,0.93911851236492,0.9393847460712335,0.939118776281309
52,350,gini,70,0.9283214673585133,0.9375990249847654,0.932597659737629,0.9329371816638371,0.9325979645316594
53,350,gini,80,0.9227785186083162,0.9277269957343084,0.9250409722698846,0.9252461407560472,0.9250411359619721
54,350,gini,90,0.916929420325006,0.9215112736136503,0.9190077089667471,0.9192146374080603,0.9190078615393991
55,350,entropy,50,0.9442839951865223,0.9563680682510665,0.9499660916584441,0.95028761731759,0.9499664818087635
56,350,entropy,60,0.9354064113338936,0.9495429616087752,0.9419825973329102,0.9424216765453005,0.9419830580778841
57,350,entropy,70,0.929961556943777,0.9434491163924437,0.9361931101221117,0.9366567850444673,0.9361935523188494
58,350,entropy,80,0.9235569422776911,0.9379646556977452,0.930159802251603,0.9307050429314305,0.9301602778962764
59,350,entropy,90,0.9181567262690508,0.9324801950030469,0.924675007301621,0.9252630305962027,0.9246754829666647
