,criterion,precision,recall,ROC,f1,acc
0,gini,0.9636494081071386,0.982205971968312,0.9725754384463695,0.9728392081120233,0.972576025351941
1,entropy,0.9678932178932179,0.9809872029250457,0.9742210514869012,0.9743962229889231,0.9742214638308245
