,criterion,precision,recall,ROC,f1,acc
0,gini,0.9632950741272118,0.9819622181596588,0.9722707239018674,0.9725390790029573,0.9722713145225181
1,entropy,0.9669351929782374,0.9801340645947593,0.97330691528129,0.9734898922648589,0.9733073313425559
