,criterion,precision,recall,ROC,f1,acc
0,gini,0.6428571428571429,0.6382978723404256,0.6418439716312057,0.6405693950177935,0.6418439716312057
1,entropy,0.6785714285714286,0.6737588652482269,0.677304964539007,0.6761565836298933,0.6773049645390071
