,criterion,precision,recall,ROC,f1,acc
0,gini,0.6259541984732825,0.5815602836879432,0.6170212765957447,0.6029411764705882,0.6170212765957447
1,entropy,0.6222222222222222,0.5957446808510638,0.6170212765957447,0.608695652173913,0.6170212765957447
