,C,penalty,precision,recall,ROC,f1,acc
0,0.1,l1,0.6590909090909091,0.6170212765957447,0.6489361702127661,0.6373626373626374,0.648936170212766
1,0.1,l2,0.6076923076923076,0.5602836879432624,0.599290780141844,0.5830258302583025,0.599290780141844
2,0.1,elasticnet,0.635036496350365,0.6170212765957447,0.6312056737588653,0.6258992805755397,0.6312056737588653
3,0.5,l1,0.5857142857142857,0.5815602836879432,0.5851063829787234,0.5836298932384342,0.5851063829787234
4,0.5,l2,0.5869565217391305,0.574468085106383,0.5851063829787234,0.5806451612903226,0.5851063829787234
5,0.5,elasticnet,0.5971223021582733,0.5886524822695035,0.5957446808510638,0.5928571428571429,0.5957446808510638
6,1.0,l1,0.6044776119402985,0.574468085106383,0.599290780141844,0.5890909090909092,0.599290780141844
7,1.0,l2,0.5864661654135338,0.5531914893617021,0.5815602836879433,0.5693430656934306,0.5815602836879432
8,1.0,elasticnet,0.6015037593984962,0.5673758865248227,0.5957446808510638,0.5839416058394161,0.5957446808510638
9,5.0,l1,0.6058394160583942,0.5886524822695035,0.6028368794326242,0.5971223021582734,0.6028368794326241
10,5.0,l2,0.5970149253731343,0.5673758865248227,0.5921985815602837,0.5818181818181819,0.5921985815602837
11,5.0,elasticnet,0.6058394160583942,0.5886524822695035,0.6028368794326242,0.5971223021582734,0.6028368794326241
12,10.0,l1,0.6058394160583942,0.5886524822695035,0.6028368794326242,0.5971223021582734,0.6028368794326241
13,10.0,l2,0.6,0.574468085106383,0.5957446808510638,0.5869565217391305,0.5957446808510638
14,10.0,elasticnet,0.6029411764705882,0.5815602836879432,0.5992907801418439,0.592057761732852,0.599290780141844
15,15.0,l1,0.6058394160583942,0.5886524822695035,0.6028368794326242,0.5971223021582734,0.6028368794326241
16,15.0,l2,0.5970149253731343,0.5673758865248227,0.5921985815602837,0.5818181818181819,0.5921985815602837
17,15.0,elasticnet,0.6029411764705882,0.5815602836879432,0.5992907801418439,0.592057761732852,0.599290780141844
18,20.0,l1,0.6029411764705882,0.5815602836879432,0.5992907801418439,0.592057761732852,0.599290780141844
19,20.0,l2,0.5970149253731343,0.5673758865248227,0.5921985815602837,0.5818181818181819,0.5921985815602837
20,20.0,elasticnet,0.6,0.574468085106383,0.5957446808510638,0.5869565217391305,0.5957446808510638
