,C,penalty,precision,recall,ROC,f1,acc
0,0.1,l1,0.5974025974025974,0.6524822695035462,0.6063829787234043,0.6237288135593221,0.6063829787234043
1,0.1,l2,0.6136363636363636,0.574468085106383,0.6063829787234043,0.5934065934065934,0.6063829787234043
2,0.1,elasticnet,0.6040268456375839,0.6382978723404256,0.6099290780141844,0.6206896551724138,0.6099290780141844
3,0.5,l1,0.6363636363636364,0.6453900709219859,0.6382978723404257,0.6408450704225352,0.6382978723404256
4,0.5,l2,0.6312056737588653,0.6312056737588653,0.6312056737588653,0.6312056737588653,0.6312056737588653
5,0.5,elasticnet,0.6357142857142857,0.6312056737588653,0.6347517730496455,0.6334519572953736,0.6347517730496454
6,1.0,l1,0.6312056737588653,0.6312056737588653,0.6312056737588653,0.6312056737588653,0.6312056737588653
7,1.0,l2,0.6619718309859155,0.6666666666666666,0.6631205673758864,0.6643109540636043,0.6631205673758865
8,1.0,elasticnet,0.65,0.6453900709219859,0.6489361702127661,0.6476868327402135,0.648936170212766
9,5.0,l1,0.6344827586206897,0.6524822695035462,0.6382978723404256,0.6433566433566434,0.6382978723404256
10,5.0,l2,0.647887323943662,0.6524822695035462,0.648936170212766,0.6501766784452297,0.648936170212766
11,5.0,elasticnet,0.6326530612244898,0.6595744680851063,0.6382978723404256,0.6458333333333333,0.6382978723404256
12,10.0,l1,0.6388888888888888,0.6524822695035462,0.6418439716312058,0.6456140350877193,0.6418439716312057
13,10.0,l2,0.6344827586206897,0.6524822695035462,0.6382978723404256,0.6433566433566434,0.6382978723404256
14,10.0,elasticnet,0.6344827586206897,0.6524822695035462,0.6382978723404256,0.6433566433566434,0.6382978723404256
15,15.0,l1,0.6388888888888888,0.6524822695035462,0.6418439716312058,0.6456140350877193,0.6418439716312057
16,15.0,l2,0.6388888888888888,0.6524822695035462,0.6418439716312058,0.6456140350877193,0.6418439716312057
17,15.0,elasticnet,0.6388888888888888,0.6524822695035462,0.6418439716312058,0.6456140350877193,0.6418439716312057
18,20.0,l1,0.6433566433566433,0.6524822695035462,0.645390070921986,0.647887323943662,0.6453900709219859
19,20.0,l2,0.6388888888888888,0.6524822695035462,0.6418439716312058,0.6456140350877193,0.6418439716312057
20,20.0,elasticnet,0.6388888888888888,0.6524822695035462,0.6418439716312058,0.6456140350877193,0.6418439716312057
