,C,penalty,precision,recall,ROC,f1,acc
0,0.1,l1,0.6337160120845922,0.6391224862888483,0.6348342806870862,0.6364077669902913,0.6348345420196234
1,0.1,l2,0.632611064035831,0.636928702010969,0.6334936050279126,0.6347625409935624,0.6334938143701627
2,0.1,elasticnet,0.6333938294010889,0.6380255941499086,0.6343467804976749,0.6357012750455373,0.6343470046925468
3,0.5,l1,0.6355512619248883,0.6414381474710542,0.6367844077189498,0.6384811355089167,0.6367846913279298
4,0.5,l2,0.6355185319328746,0.6415600243753808,0.6367844002910547,0.638524987869966,0.6367846913279298
5,0.5,elasticnet,0.6354971042471043,0.6419256550883607,0.6368453238874274,0.6386952040259505,0.6368456334938144
6,1.0,l1,0.635738416988417,0.642169408897014,0.6370890925518712,0.6389377311586734,0.6370894021573527
7,1.0,l2,0.6357056694813028,0.6422912858013407,0.637089085123976,0.638981509548348,0.6370894021573527
8,1.0,elasticnet,0.6357056694813028,0.6422912858013407,0.637089085123976,0.638981509548348,0.6370894021573527
9,5.0,l1,0.6356402218471184,0.6425350396099939,0.6370890702681857,0.6390690344869385,0.6370894021573527
10,5.0,l2,0.6355309147884778,0.6426569165143206,0.637028116960232,0.6390740516301054,0.6370284599914681
11,5.0,elasticnet,0.6356075216972035,0.6426569165143206,0.6370890628402904,0.6391127810435732,0.6370894021573527
12,10.0,l1,0.6356075216972035,0.6426569165143206,0.6370890628402904,0.6391127810435732,0.6370894021573527
13,10.0,l2,0.6355309147884778,0.6426569165143206,0.637028116960232,0.6390740516301054,0.6370284599914681
14,10.0,elasticnet,0.6356075216972035,0.6426569165143206,0.6370890628402904,0.6391127810435732,0.6370894021573527
15,15.0,l1,0.6356075216972035,0.6426569165143206,0.6370890628402904,0.6391127810435732,0.6370894021573527
16,15.0,l2,0.6356075216972035,0.6426569165143206,0.6370890628402904,0.6391127810435732,0.6370894021573527
17,15.0,elasticnet,0.6356075216972035,0.6426569165143206,0.6370890628402904,0.6391127810435732,0.6370894021573527
18,20.0,l1,0.6356075216972035,0.6426569165143206,0.6370890628402904,0.6391127810435732,0.6370894021573527
19,20.0,l2,0.6356075216972035,0.6426569165143206,0.6370890628402904,0.6391127810435732,0.6370894021573527
20,20.0,elasticnet,0.6356075216972035,0.6426569165143206,0.6370890628402904,0.6391127810435732,0.6370894021573527
