,f1,f2,ks,precision,recall,ROC,f1,acc
0,32,64,3,0.8796652341099299,0.960840024706609,0.9164315591418539,0.9184625376394876,0.9158388689134012
1,32,64,6,0.9483724812209372,0.9825818406423719,0.965250506561263,0.9651741293532338,0.9650191967822537
2,32,64,9,0.9496931038632808,0.9747992588017295,0.9622613084963663,0.962082418922214,0.962093972819794
3,64,64,3,0.8953312376295262,0.9499691167387276,0.9209191265675836,0.9218412850635339,0.9205314156865135
4,64,64,6,0.9685144663262825,0.9841877702285361,0.97651774847727,0.9762882176337234,0.9764153818026693
5,64,64,9,0.9447677871481174,0.9825818406423719,0.9633260418030238,0.9633038633886399,0.9630690474739472
