,f1,f2,ks,precision,recall,ROC,f1,acc
0,32,64,3,0.9261463073153657,0.9607843137254902,0.9415435009157709,0.943147389057209,0.9416783472484612
1,32,64,6,0.9861712361712361,0.9926167998063423,0.9892505872113827,0.9893835203281458,0.9892741788043147
2,32,64,9,0.9953944976366501,0.9940692326313242,0.994702469513158,0.9947314237267608,0.9946980315680419
3,64,64,3,0.9404943188473702,0.9717985959816026,0.9547221775783794,0.9558902315614024,0.9548418550795296
4,64,64,6,0.9852305475504323,0.9931009440813362,0.9890016810746683,0.9891500904159132,0.9890304101407764
5,64,64,9,0.9951591431683408,0.995279593318809,0.9951849052883477,0.9952193645990923,0.9951855688951186
