,C,kernel,precision,recall,ROC,f1,acc
27,5.0,poly_4,0.6159420289855072,0.6028368794326241,0.6134751773049645,0.6093189964157706,0.6134751773049646
28,5.0,poly_5,0.625,0.6737588652482269,0.6347517730496454,0.6484641638225256,0.6347517730496454
29,5.0,poly_6,0.66,0.7021276595744681,0.6702127659574468,0.6804123711340208,0.6702127659574468
30,5.0,rbf,0.6062992125984252,0.5460992907801419,0.5957446808510638,0.5746268656716418,0.5957446808510638
31,5.0,sigmoid,0.5172413793103449,0.5319148936170213,0.5177304964539007,0.5244755244755246,0.5177304964539007
32,10.0,linear,0.6598639455782312,0.6879432624113475,0.6666666666666666,0.673611111111111,0.6666666666666666
33,10.0,poly_2,0.6099290780141844,0.6099290780141844,0.6099290780141844,0.6099290780141844,0.6099290780141844
34,10.0,poly_3,0.6071428571428571,0.6028368794326241,0.6063829787234042,0.6049822064056939,0.6063829787234043
35,10.0,poly_4,0.6433566433566433,0.6524822695035462,0.645390070921986,0.647887323943662,0.6453900709219859
36,10.0,poly_5,0.6538461538461539,0.723404255319149,0.6702127659574468,0.6868686868686869,0.6702127659574468
37,10.0,poly_6,0.6666666666666666,0.6950354609929078,0.6737588652482269,0.6805555555555556,0.6737588652482269
38,10.0,rbf,0.5957446808510638,0.5957446808510638,0.5957446808510638,0.5957446808510638,0.5957446808510638
39,10.0,sigmoid,0.5167785234899329,0.5460992907801419,0.5177304964539007,0.5310344827586208,0.5177304964539007
40,15.0,linear,0.6643835616438356,0.6879432624113475,0.6702127659574468,0.6759581881533101,0.6702127659574468
41,15.0,poly_2,0.6142857142857143,0.6099290780141844,0.6134751773049645,0.6120996441281139,0.6134751773049646
42,15.0,poly_3,0.625,0.6382978723404256,0.6276595744680852,0.631578947368421,0.6276595744680851
43,15.0,poly_4,0.64,0.6808510638297872,0.6489361702127661,0.6597938144329897,0.648936170212766
44,15.0,poly_5,0.66,0.7021276595744681,0.6702127659574468,0.6804123711340208,0.6702127659574468
45,15.0,poly_6,0.6689655172413793,0.6879432624113475,0.6737588652482269,0.6783216783216783,0.6737588652482269
46,15.0,rbf,0.6126760563380281,0.6170212765957447,0.6134751773049646,0.6148409893992933,0.6134751773049646
47,15.0,sigmoid,0.52,0.5531914893617021,0.521276595744681,0.536082474226804,0.5212765957446809
48,20.0,linear,0.6689655172413793,0.6879432624113475,0.6737588652482269,0.6783216783216783,0.6737588652482269
49,20.0,poly_2,0.6086956521739131,0.5957446808510638,0.6063829787234043,0.6021505376344086,0.6063829787234043
50,20.0,poly_3,0.6312056737588653,0.6312056737588653,0.6312056737588653,0.6312056737588653,0.6312056737588653
51,20.0,poly_4,0.6516129032258065,0.7163120567375887,0.6666666666666666,0.6824324324324325,0.6666666666666666
52,20.0,poly_5,0.6466666666666666,0.6879432624113475,0.6560283687943262,0.6666666666666666,0.6560283687943262
53,20.0,poly_6,0.6575342465753424,0.6808510638297872,0.6631205673758865,0.6689895470383275,0.6631205673758865
54,20.0,rbf,0.60431654676259,0.5957446808510638,0.6028368794326241,0.6,0.6028368794326241
55,20.0,sigmoid,0.5131578947368421,0.5531914893617021,0.5141843971631206,0.5324232081911263,0.5141843971631206
